## Columns = 00000 count, 00001 count, 00010 count, 00011 count, 00100 count, 00101 count, 00110 count, 00111 count, 01000 count, 01001 count, 01010 count, 01011 count, 01100 count, 01101 count, 01110 count, 01111 count, 10000 count, 10001 count, 10010 count, 10011 count, 10100 count, 10101 count, 10110 count, 10111 count, 11000 count, 11001 count, 11010 count, 11011 count, 11100 count, 11101 count, 11110 count, 11111 count
Gx:4([])^2Gx:4@(0,1,2,3,4)  7470  0  0  0  431  0  0  0  175  0  0  0  9  0  0  0  97  0  0  0  7  0  0  0  3  0  0  0  0  0  0  0
Gx:4([])^4Gx:4@(0,1,2,3,4)  7445  0  0  0  467  0  0  0  162  0  0  0  9  0  0  0  101  0  0  0  5  0  0  0  3  0  0  0  0  0  0  0
Gx:4([])^8Gx:4@(0,1,2,3,4)  7502  0  0  0  423  0  0  0  166  0  0  0  6  0  0  0  85  0  0  0  6  0  0  0  3  0  0  0  1  0  0  0
([])@(0,1,2,3,4)  7458  0  0  0  425  0  0  0  192  0  0  0  16  0  0  0  96  0  0  0  2  0  0  0  3  0  0  0  0  0  0  0
([])^2@(0,1,2,3,4)  7388  0  0  0  472  0  0  0  217  0  0  0  15  0  0  0  93  0  0  0  6  0  0  0  1  0  0  0  0  0  0  0
([])^4@(0,1,2,3,4)  7507  0  0  0  410  0  0  0  158  0  0  0  17  0  0  0  95  0  0  0  4  0  0  0  1  0  0  0  0  0  0  0
([])^8@(0,1,2,3,4)  7428  0  0  0  444  0  0  0  191  0  0  0  18  0  0  0  100  0  0  0  4  0  0  0  7  0  0  0  0  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:1Gy:3][Gy:1Gy:3]([])[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:1Gy:3][Gy:1Gy:3]@(0,1,2,3,4)  1  0  0  0  31  0  0  0  40  0  0  0  468  0  0  0  26  0  0  0  362  0  0  0  567  0  0  0  6697  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:1Gy:3][Gy:1Gy:3]([])^2[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:1Gy:3][Gy:1Gy:3]@(0,1,2,3,4)  3  0  0  0  29  0  0  0  50  0  0  0  470  0  0  0  42  0  0  0  354  0  0  0  621  0  0  0  6623  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:1Gy:3][Gy:1Gy:3]([])^4[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:1Gy:3][Gy:1Gy:3]@(0,1,2,3,4)  2  0  0  0  28  0  0  0  57  0  0  0  477  0  0  0  36  0  0  0  348  0  0  0  595  0  0  0  6649  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:1Gy:3][Gy:1Gy:3]([])^8[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:1Gy:3][Gy:1Gy:3]@(0,1,2,3,4)  3  0  0  0  32  0  0  0  44  0  0  0  488  0  0  0  33  0  0  0  360  0  0  0  615  0  0  0  6617  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:2Gy:3][Gy:2Gy:3]([])[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:2Gy:3][Gy:2Gy:3]@(0,1,2,3,4)  2  0  0  0  16  0  0  0  46  0  0  0  467  0  0  0  30  0  0  0  331  0  0  0  624  0  0  0  6676  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:2Gy:3][Gy:2Gy:3]([])^2[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:2Gy:3][Gy:2Gy:3]@(0,1,2,3,4)  4  0  0  0  15  0  0  0  59  0  0  0  440  0  0  0  42  0  0  0  383  0  0  0  627  0  0  0  6622  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:2Gy:3][Gy:2Gy:3]([])^4[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:2Gy:3][Gy:2Gy:3]@(0,1,2,3,4)  4  0  0  0  28  0  0  0  36  0  0  0  484  0  0  0  24  0  0  0  333  0  0  0  608  0  0  0  6675  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:2Gy:3][Gy:2Gy:3]([])^8[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:2Gy:3][Gy:2Gy:3]@(0,1,2,3,4)  4  0  0  0  24  0  0  0  44  0  0  0  483  0  0  0  33  0  0  0  358  0  0  0  663  0  0  0  6583  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4]Gy:4Gy:4([])[Gy:0Gy:1Gy:2Gy:3Gy:4]Gy:4Gy:4@(0,1,2,3,4)  3  0  0  0  23  0  0  0  45  0  0  0  424  0  0  0  26  0  0  0  367  0  0  0  591  0  0  0  6713  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4]Gy:4Gy:4([])^2[Gy:0Gy:1Gy:2Gy:3Gy:4]Gy:4Gy:4@(0,1,2,3,4)  4  0  0  0  20  0  0  0  51  0  0  0  456  0  0  0  33  0  0  0  339  0  0  0  590  0  0  0  6699  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4]Gy:4Gy:4([])^4[Gy:0Gy:1Gy:2Gy:3Gy:4]Gy:4Gy:4@(0,1,2,3,4)  1  0  0  0  25  0  0  0  43  0  0  0  477  0  0  0  39  0  0  0  390  0  0  0  618  0  0  0  6599  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4]Gy:4Gy:4([])^8[Gy:0Gy:1Gy:2Gy:3Gy:4]Gy:4Gy:4@(0,1,2,3,4)  2  0  0  0  14  0  0  0  44  0  0  0  457  0  0  0  28  0  0  0  356  0  0  0  600  0  0  0  6691  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:0Gy:2Gy:4][Gy:0Gy:2Gy:4]([])[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:0Gy:2Gy:4][Gy:0Gy:2Gy:4]@(0,1,2,3,4)  1  0  0  0  22  0  0  0  42  0  0  0  472  0  0  0  28  0  0  0  371  0  0  0  632  0  0  0  6624  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:0Gy:2Gy:4][Gy:0Gy:2Gy:4]([])^2[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:0Gy:2Gy:4][Gy:0Gy:2Gy:4]@(0,1,2,3,4)  2  0  0  0  24  0  0  0  57  0  0  0  495  0  0  0  32  0  0  0  382  0  0  0  575  0  0  0  6625  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:0Gy:2Gy:4][Gy:0Gy:2Gy:4]([])^4[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:0Gy:2Gy:4][Gy:0Gy:2Gy:4]@(0,1,2,3,4)  1  0  0  0  25  0  0  0  39  0  0  0  473  0  0  0  42  0  0  0  324  0  0  0  616  0  0  0  6672  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:0Gy:2Gy:4][Gy:0Gy:2Gy:4]([])^8[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:0Gy:2Gy:4][Gy:0Gy:2Gy:4]@(0,1,2,3,4)  2  0  0  0  22  0  0  0  54  0  0  0  471  0  0  0  27  0  0  0  362  0  0  0  593  0  0  0  6661  0  0  0
